job_title,level,min_salary,max_salary,min_exp,max_exp,job_description,soft_skill,hard_skill,interest,education,job_category,job_id
Oncologist,Senior,120000,190000,5,10,"Specializes in diagnosing and treating cancer. Develops treatment plans including chemotherapy, radiation, or surgery, and monitors patient progress through therapy.",Analytical Thinking|Decision Making|Empathy|Attention to Detail|Leadership|Research,Oncology Procedures|Medical Diagnosis|Patient Care|Electronic Health Records|Clinical Research|Data Analysis,Healthcare|Medical Science|Medical Research|Patient Care|Oncology,Doctor of Medicine*|Master's in Oncology*,Healthcare,22.0
Dental Hygienist,Junior,35000,55000,1,3,"Cleans teeth, examines oral health, and educates patients on dental hygiene. Assists dentists with procedures, takes X-rays, and applies preventive treatments like fluoride.",Attention to Detail|Communication|Technical Understanding|Patience,Dental Procedures|Patient Care|Medical Billing|Electronic Health Records|Quality Control,Healthcare|Patient Care|Wellness|Medical Science|Dental Health,Associate's in Dental Hygiene*|Bachelor's in Health Sciences,Healthcare,23.0
Neurologist,Senior,130000,210000,6,11,"Diagnoses and treats disorders of the nervous system, including the brain and spinal cord. Orders tests like MRIs, prescribes treatments, and manages conditions such as epilepsy or Parkinson’s.",Analytical Thinking|Technical Understanding|Decision Making|Attention to Detail|Leadership,Neurology Procedures|Medical Diagnosis|Patient Care|Electronic Health Records|Clinical Research|Data Analysis,Healthcare|Medical Science|Medical Research|Patient Care|Neuroscience,Doctor of Medicine*|Master's in Neurology*,Healthcare,24.0
Respiratory Therapist,Mid,50000,80000,2,5,"Treats patients with breathing or cardiopulmonary disorders. Administers respiratory therapies, monitors ventilators, and educates patients on lung health management.",Technical Understanding|Communication|Problem Solving|Empathy|Attention to Detail,Respiratory Therapy Techniques|Patient Care|Medical Equipment Maintenance|Electronic Health Records|Data Analysis,Healthcare|Patient Care|Medical Science|Wellness|Respiratory Health,Bachelor's in Respiratory Therapy*|Associate's in Healthcare Administration,Healthcare,25.0
Emergency Medical Technician (EMT),Junior,30000,45000,0,3,"Responds to emergencies, providing immediate medical care and transportation. Performs CPR, controls bleeding, and stabilizes patients en route to medical facilities.",Adaptability|Communication|Crisis Management|Team Leadership|Patience,Emergency Medical Procedures|Patient Care|Medical Equipment Maintenance|Data Preprocessing,Healthcare|Patient Care|Emergency Medicine|Public Health|Medical Science,Certificate in Emergency Medical Services*|Associate's in Nursing,Healthcare,26.0
Orthopedic Surgeon,Senior,140000,230000,6,12,"Performs surgeries to treat musculoskeletal injuries and conditions, such as fractures or joint replacements. Assesses patients, plans procedures, and oversees rehabilitation.",Decision Making|Technical Understanding|Attention to Detail|Leadership|Problem Solving|Stress Management,Orthopedic Surgery|Surgery|Patient Care|Electronic Health Records|Clinical Research,Healthcare|Medical Science|Patient Care|Medical Research|Orthopedics,Doctor of Medicine*|Master's in Orthopedic Surgery*,Healthcare,27.0
Health Information Manager,Mid,60000,95000,3,7,"Oversees the organization and security of patient health information systems. Ensures data integrity, implements technology solutions, and maintains regulatory compliance.",Organization|Analytical Thinking|Communication|Confidentiality|Leadership,Electronic Health Records|Database Design|Data Analysis|Medical Billing|HIPAA Compliance,Healthcare|Medical Administration|Data Analysis|Health Policy|Information Security,Bachelor's in Health Information Management|Master's in Healthcare Administration,Healthcare,28.0
Veterinarian,Mid,70000,110000,3,6,"Diagnoses and treats illnesses and injuries in animals. Performs surgeries, prescribes medications, and advises pet owners on animal care and preventive health.",Empathy|Technical Understanding|Problem Solving|Communication|Attention to Detail,Veterinary Procedures|Patient Care|Clinical Research|Electronic Health Records|Data Analysis,Healthcare|Medical Science|Patient Care|Animal Health|Medical Research,Doctor of Veterinary Medicine*|Bachelor's in Biology,Healthcare,29.0
Surgical Technician,Junior,32000,50000,1,4,"Assists surgeons during operations by preparing operating rooms, sterilizing equipment, and handing instruments. Ensures a safe and efficient surgical environment.",Attention to Detail|Team Leadership|Technical Understanding|Adaptability|Patience,Surgery Assistance|Patient Care|Medical Equipment Maintenance|Electronic Health Records|Quality Control,Healthcare|Patient Care|Medical Science|Surgery|Wellness,Associate's in Surgical Technology*|Certificate in Surgical Technology*,Healthcare,30.0
Psychiatrist,Senior,110000,170000,5,9,"Diagnoses and treats mental illnesses using therapy and medication. Conducts psychiatric evaluations, develops treatment plans, and monitors patient mental health progress.",Empathy|Listening|Analytical Thinking|Decision Making|Confidentiality|Leadership,Psychiatric Assessment|Medical Diagnosis|Patient Care|Electronic Health Records|Clinical Research,Healthcare|Mental Health|Psychology|Medical Research|Patient Care|Wellness,Doctor of Medicine*|Master's in Psychiatry*,Healthcare,31.0
Dietitian,Mid,55000,85000,2,5,"Plans nutrition programs to promote health and manage diseases. Assesses dietary needs, provides counseling, and designs meal plans tailored to patient conditions.",Communication|Analytical Thinking|Creativity|Empathy|Problem Solving,Nutrition Planning|Patient Care|Data Analysis|Electronic Health Records|Clinical Research,Healthcare|Wellness|Nutrition|Medical Science|Patient Care|Public Health,Bachelor's in Nutrition*|Master's in Nutrition*,Healthcare,32.0
Obstetrician/Gynecologist,Senior,120000,200000,5,10,"Provides medical care related to pregnancy, childbirth, and women’s reproductive health. Performs deliveries, conducts exams, and treats gynecological conditions.",Decision Making|Empathy|Technical Understanding|Attention to Detail|Leadership|Stress Management,Obstetric Procedures|Gynecological Procedures|Patient Care|Electronic Health Records|Clinical Research,Healthcare|Patient Care|Medical Science|Medical Research|Women's Health,Doctor of Medicine*|Master's in Obstetrics and Gynecology*,Healthcare,33.0
Medical Billing Specialist,Junior,30000,48000,0,3,"Handles billing processes for healthcare services, submitting claims to insurance companies. Ensures accurate coding, tracks payments, and resolves billing disputes.",Organization|Attention to Detail|Communication|Analytical Thinking,Medical Billing|Data Analysis|Electronic Health Records|Database Design|HIPAA Compliance,Healthcare|Medical Administration|Financial Analysis|Health Policy|Data Analysis,Bachelor's in Healthcare Administration|Associate's in Healthcare Administration,Healthcare,34.0
Pathologist,Senior,100000,160000,5,9,"Examines tissues and bodily fluids to diagnose diseases. Analyzes lab results, conducts autopsies, and collaborates with physicians to determine treatment options.",Analytical Thinking|Attention to Detail|Technical Understanding|Research|Decision Making,Pathology Procedures|Medical Diagnosis|Clinical Research|Electronic Health Records|Data Analysis|Statistical Analysis,Healthcare|Medical Science|Medical Research|Data Analysis|Pathology,Doctor of Medicine*|Master's in Pathology*,Healthcare,35.0
Ultrasound Technician,Mid,50000,75000,2,5,"Operates ultrasound equipment to capture images of internal organs or fetuses. Prepares patients, interprets scans, and assists physicians with diagnostic insights.",Technical Understanding|Attention to Detail|Communication|Empathy,Ultrasound Imaging|Patient Care|Medical Equipment Maintenance|Electronic Health Records|Data Preprocessing,Healthcare|Patient Care|Medical Science|Medical Imaging|Wellness,Associate's in Diagnostic Medical Sonography*|Bachelor's in Health Sciences,Healthcare,36.0
Home Health Aide,Junior,25000,40000,0,2,"Provides in-home care to patients, assisting with daily activities like bathing and eating. Monitors health conditions and reports changes to healthcare providers.",Empathy|Patience|Communication|Adaptability|Attention to Detail,Patient Care|Basic Medical Procedures|Electronic Health Records|Data Preprocessing|Quality Control,Healthcare|Patient Care|Wellness|Medical Administration|Community Health,Associate's in Nursing|Certificate in Home Health Aide*,Healthcare,37.0
Biomedical Engineer,Mid,65000,95000,3,7,"Designs and develops medical devices and equipment, such as prosthetics or imaging systems. Tests functionality, ensures safety standards, and collaborates with healthcare professionals.",Problem Solving|Technical Understanding|Analytical Thinking|Creativity|Team Leadership,Medical Equipment Design|Data Analysis|Programming|Clinical Research|Quality Control,Healthcare|Medical Devices|Medical Science|Medical Research|Innovation|Technology,Bachelor's in Biomedical Engineering|Master's in Biomedical Engineering,Healthcare,38.0
Endocrinologist,Senior,110000,180000,5,10,"Diagnoses and treats hormone-related disorders, such as diabetes or thyroid conditions. Prescribes treatments, monitors hormone levels, and educates patients on management.",Analytical Thinking|Decision Making|Attention to Detail|Technical Understanding|Leadership,Endocrinology Procedures|Medical Diagnosis|Patient Care|Electronic Health Records|Clinical Research,Healthcare|Medical Science|Medical Research|Patient Care|Endocrinology,Doctor of Medicine*|Master's in Endocrinology*,Healthcare,39.0
Licensed Practical Nurse (LPN),Junior,35000,52000,1,3,"Provides basic nursing care under supervision, including administering medications and monitoring patient health. Assists with procedures and maintains patient records.",Communication|Empathy|Attention to Detail|Team Leadership|Patience,Patient Care|Clinical Procedures|Electronic Health Records|Medical Billing|Data Preprocessing,Healthcare|Patient Care|Medical Administration|Wellness|Public Health,Associate's in Nursing|Certificate in Practical Nursing*,Healthcare,40.0
Medical Social Worker,Mid,50000,80000,2,6,"Supports patients and families by addressing social and emotional needs. Coordinates care services, provides counseling, and connects clients to community resources.",Empathy|Communication|Problem Solving|Listening|Confidentiality,Case Management|Patient Care|Electronic Health Records|Data Analysis|Clinical Research,Healthcare|Patient Care|Mental Health|Community Development|Public Health|Social Impact,Master's in Social Work*|Bachelor's in Psychology,Healthcare,41.0
Gastroenterologist,Senior,120000,190000,5,9,"Diagnoses and treats digestive system disorders. Performs procedures like endoscopies, interprets results, and develops treatment plans for conditions like ulcers or IBS.",Analytical Thinking|Decision Making|Technical Understanding|Attention to Detail|Leadership,Gastroenterology Procedures|Medical Diagnosis|Patient Care|Electronic Health Records|Clinical Research,Healthcare|Medical Science|Medical Research|Patient Care|Gastroenterology,Doctor of Medicine*|Master's in Gastroenterology*,Healthcare,42.0
Phlebotomist,Junior,28000,43000,0,2,"Collects blood samples from patients for testing or donation. Ensures proper labeling, maintains equipment, and follows safety protocols to prevent contamination.",Attention to Detail|Communication|Patience|Technical Understanding,Phlebotomy Techniques|Patient Care|Medical Equipment Maintenance|Electronic Health Records|Quality Control,Healthcare|Patient Care|Medical Science|Wellness|Laboratory Science,Certificate in Phlebotomy*|Associate's in Healthcare Administration,Healthcare,43.0
Rehabilitation Counselor,Mid,55000,85000,2,5,"Helps individuals with disabilities achieve personal and vocational goals. Assesses needs, develops rehabilitation plans, and provides counseling and resource support.",Empathy|Communication|Problem Solving|Listening|Creativity,Rehabilitation Techniques|Patient Care|Data Analysis|Electronic Health Records|Clinical Research,Healthcare|Patient Care|Wellness|Rehabilitation|Mental Health|Social Impact,Master's in Rehabilitation Counseling*|Bachelor's in Psychology,Healthcare,44.0
Infectious Disease Specialist,Senior,130000,210000,6,11,"Diagnoses and manages infectious diseases, such as HIV or tuberculosis. Conducts research, prescribes treatments, and advises on infection prevention strategies.",Analytical Thinking|Research|Decision Making|Technical Understanding|Leadership|Attention to Detail,Infectious Disease Management|Medical Diagnosis|Clinical Research|Electronic Health Records|Data Analysis|Statistical Analysis,Healthcare|Medical Science|Medical Research|Public Health|Infectious Diseases,Doctor of Medicine*|Master's in Infectious Diseases*,Healthcare,45.0
Medical Equipment Technician,Junior,32000,50000,1,4,"Installs, maintains, and repairs medical equipment like ventilators or imaging machines. Performs routine checks, troubleshoots issues, and ensures operational safety.",Technical Understanding|Problem Solving|Attention to Detail|Communication,Medical Equipment Maintenance|Data Analysis|Quality Control|Electronic Health Records|Programming,Healthcare|Medical Devices|Technology|Medical Science|Patient Care|Innovation,Associate's in Biomedical Technology*|Bachelor's in Engineering,Healthcare,46.0
Allergist,Mid,80000,130000,3,7,"Diagnoses and treats allergic conditions, such as asthma or food allergies. Conducts tests, prescribes medications, and develops management plans for patient relief.",Analytical Thinking|Communication|Empathy|Attention to Detail|Problem Solving,Allergy Testing|Medical Diagnosis|Patient Care|Electronic Health Records|Clinical Research,Healthcare|Medical Science|Patient Care|Medical Research|Allergy Management,Doctor of Medicine*|Master's in Allergy and Immunology*,Healthcare,47.0
Hospice Nurse,Mid,60000,90000,2,6,"Provides compassionate end-of-life care to terminally ill patients. Manages pain, offers emotional support, and coordinates with families and healthcare teams.",Empathy|Communication|Patience|Adaptability|Attention to Detail|Compassion,Patient Care|Palliative Care Techniques|Electronic Health Records|Clinical Procedures|Data Preprocessing,Healthcare|Patient Care|Wellness|Mental Health|Palliative Care|Public Health,Master's in Nursing|Bachelor's in Nursing,Healthcare,48.0
Dermatologist,Senior,110000,180000,5,9,"Diagnoses and treats skin, hair, and nail conditions. Performs procedures like biopsies, prescribes treatments, and advises on skincare practices.",Technical Understanding|Attention to Detail|Decision Making|Leadership|Communication,Dermatology Procedures|Medical Diagnosis|Patient Care|Electronic Health Records|Clinical Research,Healthcare|Medical Science|Patient Care|Medical Research|Dermatology,Doctor of Medicine*|Master's in Dermatology*,Healthcare,49.0
Public Health Analyst,Mid,65000,100000,3,7,"Analyzes health data to improve community health outcomes. Conducts research, develops policies, and evaluates programs to address public health challenges.",Analytical Thinking|Communication|Research|Problem Solving|Strategic Thinking,Data Analysis|Statistical Analysis|Public Health Research|Electronic Health Records|Forecasting,Healthcare|Public Health|Data Analysis|Medical Science|Health Policy|Sustainability,Master's in Public Health|Bachelor's in Public Health,Healthcare,50.0
Farm Manager,Journey,50000,85000,3,10,"Oversees daily operations of a farm, including crop planting, harvesting, and livestock care.",Leadership|Team Leadership|Problem Solving|Communication|Decision Making|Time Management,Operations Management|Budgeting|Inventory Management|Project Management|Supply Chain Management,Outdoor Activities|Animal Care|Gardening|Business Strategy|Technology,Bachelor's in Agriculture|Bachelor's in Operations Management,Agriculture,Transportation
Agricultural Technician,Entry,35000,55000,0,5,Assists in testing and improving crop production and soil health.,Attention to Detail|Analytical Thinking|Team Leadership|Communication|Learning Agility,Data Analysis|Quality Control|Data Collection|Laboratory Techniques|Environmental Management,Nature Exploration|Scientific Research|DIY Projects|Technology,Associate's in Agriculture|Bachelor's in Environmental Science,Agriculture,Transportation
Agronomist,Journey,55000,90000,2,8,Studies soil and crop management to optimize agricultural yields.,Analytical Thinking|Research|Problem Solving|Communication|Industry Knowledge,Data Analysis|Statistical Analysis|Research|Environmental Management|Data Modeling,Plant Biology|Environmental Science|Conservation|Research,Bachelor's in Agriculture|Master's in Environmental Science,Agriculture,Transportation
Livestock Farmer,Journey,45000,75000,2,10,"Raises and manages livestock for meat, dairy, or wool production.",Persistence|Communication|Problem Solving|Time Management|Empathy,Animal Husbandry|Quality Control|Inventory Management|Operations Management,Animal Care|Rural Living|Outdoor Activities|Medical Science,Bachelor's in Animal Science|Bachelor's in Agriculture,Agriculture,Transportation
Horticulturist,Journey,40000,70000,2,8,"Cultivates and manages plants, flowers, and trees for gardens or commercial use.",Creativity|Attention to Detail|Problem Solving|Communication|Patience,Environmental Management|Design|Project Management|Research|Quality Control,Gardening|Botany|Design|Photography|Landscaping,Bachelor's in Horticulture|Bachelor's in Environmental Science,Agriculture,Transportation
Agricultural Engineer,Journey,65000,110000,3,10,Designs machinery and systems to improve farming efficiency.,Technical Understanding|Problem Solving|Analytical Thinking|Creativity|Communication,Machine Learning|CAD Software|Project Management|Data Modeling|Engineering Design,Technology|Engineering Design|Innovation|Problem Solving,Bachelor's in Agricultural Engineering|Master's in Engineering,Agriculture,Transportation
Food Scientist,Journey,60000,95000,2,8,"Develops and tests food products for safety, quality, and shelf life.",Research|Analytical Thinking|Attention to Detail|Communication|Creativity,Data Analysis|Quality Control|Product Development|Statistical Analysis|Research,Cooking|Scientific Research|Nutrition|Product Development,Bachelor's in Food Science|Master's in Food Science,Agriculture,Transportation
Soil Scientist,Journey,55000,85000,2,8,Analyzes soil composition to support sustainable agriculture and land use.,Analytical Thinking|Research|Problem Solving|Communication|Sustainability Awareness,Data Analysis|GIS|Research|Environmental Management|Data Visualization,Geology|Environmental Science|Outdoor Activities|Research,Bachelor's in Environmental Science|Master's in Environmental Science,Environment,Transportation
Forester,Journey,50000,80000,2,10,"Manages forest lands for timber production, conservation, and recreation.",Problem Solving|Communication|Leadership|Sustainability Awareness|Time Management,GIS|Environmental Management|Project Management|Data Analysis|Quality Control,Conservation|Wildlife|Outdoor Activities|Environmental Management,Bachelor's in Forestry|Bachelor's in Environmental Science,Environment,Transportation
Environmental Scientist,Journey,60000,90000,2,8,Studies environmental impacts and develops solutions for pollution control.,Analytical Thinking|Research|Communication|Problem Solving|Sustainability Awareness,Data Analysis|Environmental Management|Research|Statistical Analysis|Data Visualization,Climate Science|Research|Recycling|Sustainability,Bachelor's in Environmental Science|Master's in Environmental Science,Environment,Transportation
Farm Worker,Entry,30000,45000,0,3,"Performs manual tasks like planting, harvesting, and tending livestock.",Persistence|Time Management|Attention to Detail|Team Leadership,Operations Management|Quality Control|Inventory Management|Process Improvement,Physical Fitness|Nature Exploration|Animal Care|Technology,Associate's in Agriculture|Certificate in Agriculture,Agriculture,Transportation
Irrigation Specialist,Journey,45000,70000,2,8,Designs and maintains irrigation systems for efficient water use.,Technical Understanding|Problem Solving|Analytical Thinking|Communication|Creativity,Engineering Design|Data Analysis|Project Management|Environmental Management|Quality Control,Water Management|Engineering Design|Outdoor Activities|Problem Solving,Bachelor's in Civil Engineering|Bachelor's in Environmental Engineering,Agriculture,Transportation
Seed Technologist,Journey,50000,80000,2,8,Develops and tests seed varieties for improved yield and resistance.,Research|Analytical Thinking|Creativity|Communication|Attention to Detail,Data Analysis|Research|Quality Control|Product Development|Statistical Analysis,Plant Biology|Research|Scientific Research|Botany,Bachelor's in Agriculture|Master's in Biology,Agriculture,Transportation
Agricultural Consultant,Journey,60000,100000,3,10,Advises farmers on best practices for productivity and sustainability.,Communication|Problem Solving|Industry Knowledge|Client Relations|Persuasion,Business Analysis|Market Research|Data Analysis|Strategic Planning|Project Management,Business Analysis|Market Trends|Networking|Problem Solving,Bachelor's in Agriculture|Master's in Business Administration,Agriculture,Transportation
Dairy Farmer,Journey,40000,70000,2,10,Manages dairy cattle and oversees milk production processes.,Time Management|Persistence|Communication|Problem Solving|Empathy,Operations Management|Quality Control|Inventory Management|Process Improvement|Product Development,Animal Care|Rural Living|Technology|Product Development,Bachelor's in Animal Science|Bachelor's in Agriculture,Agriculture,Transportation
Aquaculturist,Journey,45000,75000,2,8,"Raises fish and aquatic plants for food, research, or conservation.",Problem Solving|Analytical Thinking|Communication|Sustainability Awareness|Time Management,Environmental Management|Data Analysis|Quality Control|Research|Operations Management,Aquatic Life|Fish Keeping|Water Chemistry|Conservation,Bachelor's in Fisheries Science|Bachelor's in Environmental Science,Agriculture,Transportation
Beekeeper,Journey,35000,60000,1,6,Maintains bee colonies for honey production and pollination services.,Patience|Attention to Detail|Problem Solving|Communication|Persistence,Operations Management|Quality Control|Environmental Management|Inventory Management|Research,Beekeeping|Nature Exploration|Conservation|Research,Certificate in Agriculture|Bachelor's in Environmental Science,Agriculture,Transportation
Crop Inspector,Entry,35000,55000,1,5,"Inspects crops for quality, disease, and compliance with standards.",Attention to Detail|Analytical Thinking|Communication|Integrity|Observation,Data Analysis|Quality Control|Risk Assessment|Regulatory Compliance|Inspection Techniques,Plant Biology|Quality Control|Field Research|Agricultural Science,Associate's in Agriculture|Bachelor's in Agriculture,Agriculture,Transportation
Agricultural Equipment Operator,Entry,32000,50000,0,5,Operates machinery like tractors and harvesters on farms.,Technical Understanding|Attention to Detail|Time Management|Safety Consciousness,Operations Management|Quality Control|Process Improvement|Risk Assessment,Machine Operation|Technology|Outdoor Activities|Mechanics,Associate's in Agriculture|Certificate in Machinery Operation,Agriculture,Transportation
Wildlife Biologist,Journey,55000,85000,2,8,Studies wildlife populations and habitats for conservation efforts.,Research|Analytical Thinking|Communication|Sustainability Awareness|Problem Solving,Data Analysis|GIS|Research|Environmental Management|Statistical Analysis,Wildlife|Conservation|Research|Photography,Bachelor's in Biology|Master's in Biology,Environment,Transportation
Environmental Engineer,Journey,65000,105000,3,10,Designs systems to mitigate environmental damage and pollution.,Technical Understanding|Problem Solving|Analytical Thinking|Creativity|Sustainability Awareness,Engineering Design|Data Analysis|Environmental Management|Project Management|Risk Assessment,Green Technology|Engineering Design|Sustainability|Research,Bachelor's in Environmental Engineering|Master's in Civil Engineering,Environment,Transportation
Water Resource Specialist,Journey,60000,95000,2,8,Manages water resources for agriculture and community use.,Analytical Thinking|Problem Solving|Communication|Sustainability Awareness|Decision Making,Data Analysis|GIS|Environmental Management|Project Management|Data Modeling,Water Management|Environmental Science|Conservation|Data Analysis,Bachelor's in Environmental Science|Master's in Environmental Science,Environment,Transportation
Organic Farmer,Journey,40000,65000,2,10,Grows crops and raises livestock using organic methods.,Sustainability Awareness|Problem Solving|Communication|Persistence|Creativity,Environmental Management|Quality Control|Operations Management|Sustainability Planning|Process Improvement,Sustainability|Gardening|Composting|Healthy Living,Bachelor's in Agriculture|Bachelor's in Sustainability,Agriculture,Transportation
Agribusiness Manager,Journey,70000,120000,3,12,Oversees business operations of agricultural enterprises.,Leadership|Business Acumen|Decision Making|Communication|Strategic Thinking|Stakeholder Management,Business Analysis|Financial Analysis|Strategic Planning|Market Research|Project Management,Business Strategy|Market Trends|Leadership Development|Economics,Bachelor's in Business Administration|Master's in Business Administration,Agriculture,Transportation
Plant Breeder,Journey,60000,95000,3,10,Develops new plant varieties for improved traits and resilience.,Research|Creativity|Analytical Thinking|Communication|Attention to Detail,Data Analysis|Research|Product Development|Statistical Analysis|Quality Control,Plant Biology|Genetics|Gardening|Scientific Research,Bachelor's in Agriculture|Master's in Biology,Agriculture,Transportation
Conservation Officer,Journey,45000,75000,2,8,Enforces regulations to protect natural resources and wildlife.,Communication|Problem Solving|Integrity|Sustainability Awareness|Leadership,Environmental Management|GIS|Regulatory Compliance|Risk Assessment|Project Management,Conservation|Law Enforcement|Outdoor Activities|Community Development,Bachelor's in Environmental Science|Bachelor's in Criminal Justice,Environment,Transportation
Greenhouse Manager,Journey,40000,70000,2,8,Manages greenhouse operations for plant cultivation.,Time Management|Problem Solving|Communication|Attention to Detail|Creativity,Operations Management|Environmental Management|Quality Control|Project Management|Process Improvement,Gardening|Plant Care|Climate Science|Botany,Bachelor's in Horticulture|Bachelor's in Agriculture,Agriculture,Transportation
Agricultural Economist,Journey,65000,100000,3,10,Analyzes economic trends and policies in agriculture.,Analytical Thinking|Research|Communication|Industry Knowledge|Strategic Thinking,Data Analysis|Statistical Analysis|Market Research|Financial Analysis|Forecasting,Economics|Data Analysis|Market Research|Policy,Bachelor's in Economics|Master's in Economics,Agriculture,Transportation
Farm Educator,Entry,35000,55000,1,5,Teaches farming techniques and agricultural science to students or farmers.,Communication|Presentation Skills|Empathy|Patience|Mentoring,Content Creation|Presentation Skills|Project Management|Research|Training Development,Teaching Methodology|Agricultural Science|Community Development|Hands-on Learning,Bachelor's in Education|Bachelor's in Agriculture,Agriculture,Transportation
Sustainability Coordinator,Journey,50000,80000,2,8,Develops programs to promote sustainable agricultural practices.,Sustainability Awareness|Communication|Problem Solving|Creativity|Stakeholder Management,Sustainability Planning|Environmental Management|Data Analysis|Project Management|Strategic Planning,Sustainability|Environmental Management|Green Initiatives|Research,Bachelor's in Sustainability|Master's in Sustainability,Environment,Transportation
Fisheries Manager,Journey,50000,80000,2,10,Oversees fish populations and aquatic ecosystems for sustainability.,Leadership|Sustainability Awareness|Analytical Thinking|Communication|Problem Solving,Environmental Management|Data Analysis|Quality Control|Research|Project Management,Fishing|Conservation|Aquatic Life|Water Management,Bachelor's in Fisheries Science|Master's in Environmental Science,Environment,Transportation
Soil Conservationist,Journey,50000,75000,2,8,Implements strategies to prevent soil erosion and degradation.,Sustainability Awareness|Analytical Thinking|Problem Solving|Communication|Research,Environmental Management|GIS|Data Analysis|Research|Sustainability Planning,Soil Science|Land Restoration|Outdoor Activities|Environmental Management,Bachelor's in Environmental Science|Master's in Environmental Science,Environment,Transportation
Agricultural Sales Representative,Journey,45000,80000,2,8,"Sells agricultural products like seeds, fertilizers, and equipment.",Persuasion|Communication|Client Relations|Industry Knowledge|Negotiation,Market Research|Sales Techniques|Customer Acquisition|CRM|Business Analysis,Sales Strategy|Agricultural Products|Customer Relations|Market Research,Bachelor's in Marketing|Certificate in Sales,Agriculture,Transportation
Poultry Farmer,Journey,40000,65000,2,10,"Raises poultry for eggs, meat, or breeding purposes.",Time Management|Persistence|Communication|Problem Solving|Attention to Detail,Operations Management|Quality Control|Inventory Management|Process Improvement|Product Development,Animal Care|Rural Living|Farm Life|Product Development,Bachelor's in Animal Science|Bachelor's in Agriculture,Agriculture,Transportation
Rangeland Manager,Journey,45000,75000,2,8,Manages grazing lands for livestock and ecological balance.,Sustainability Awareness|Problem Solving|Communication|Leadership|Analytical Thinking,Environmental Management|GIS|Data Analysis|Project Management|Quality Control,Ecology|Livestock Management|Outdoor Activities|Conservation,Bachelor's in Environmental Science|Master's in Biology,Environment,Transportation
Tree Surgeon,Journey,40000,65000,2,8,Maintains and treats trees to ensure health and safety.,Safety Consciousness|Attention to Detail|Problem Solving|Communication|Physical Awareness,Operations Management|Quality Control|Risk Assessment|Environmental Management,Tree Care|Outdoor Activities|Physical Fitness|Botany,Certificate in Arboriculture|Bachelor's in Forestry,Environment,Transportation
Ecologist,Journey,55000,85000,2,8,Studies ecosystems to support conservation and land management.,Research|Analytical Thinking|Communication|Sustainability Awareness|Problem Solving,Data Analysis|GIS|Research|Environmental Management|Statistical Analysis,Ecology|Research|Nature Exploration|Biodiversity,Bachelor's in Biology|Master's in Environmental Science,Environment,Transportation
Agricultural Researcher,Journey,60000,95000,3,10,Conducts experiments to advance agricultural knowledge and practices.,Research|Analytical Thinking|Creativity|Communication|Learning Agility,Data Analysis|Research|Statistical Analysis|Data Modeling|Project Management,Scientific Research|Agricultural Science|Innovation|Data Analysis,Bachelor's in Agriculture|Master's in Research Science,Agriculture,Transportation
Compost Technician,Entry,32000,50000,0,5,Manages composting processes for organic waste recycling.,Sustainability Awareness|Attention to Detail|Time Management|Problem Solving,Environmental Management|Quality Control|Process Improvement|Data Analysis,Composting|Waste Reduction|Environmental Management|Gardening,Associate's in Environmental Science|Bachelor's in Sustainability,Environment,Transportation
Hydroponics Specialist,Journey,45000,70000,2,8,Grows plants without soil using nutrient-rich water solutions.,Technical Understanding|Creativity|Problem Solving|Communication|Analytical Thinking,Engineering Design|Environmental Management|Data Analysis|Quality Control|Project Management,Hydroponics|Plant Biology|Technology|Indoor Gardening,Bachelor's in Agriculture|Bachelor's in Horticulture,Agriculture,Transportation
Animal Nutritionist,Journey,55000,90000,2,8,Formulates diets to improve livestock health and productivity.,Analytical Thinking|Research|Communication|Problem Solving|Empathy,Data Analysis|Research|Quality Control|Product Development|Statistical Analysis,Animal Care|Nutrition|Research|Farm Life,Bachelor's in Animal Science|Master's in Biology,Agriculture,Transportation
Environmental Planner,Journey,60000,95000,3,10,Plans land use to balance development and environmental protection.,Strategic Thinking|Sustainability Awareness|Communication|Analytical Thinking|Problem Solving,Urban Planning|GIS|Environmental Management|Data Analysis|Strategic Planning,Urban Planning|Environmental Management|Sustainability|Map Reading,Bachelor's in Urban Planning|Master's in Urban Planning,Environment,Transportation
Farm Mechanic,Journey,40000,65000,1,6,Repairs and maintains farm machinery and equipment.,Technical Understanding|Problem Solving|Attention to Detail|Time Management|Persistence,Engineering Design|Quality Control|Process Improvement|Operations Management,Mechanics|Tool Use|Technology|DIY Projects,Associate's in Mechanical Engineering|Bachelor's in Engineering,Agriculture,Transportation
Biofuel Technician,Journey,45000,75000,2,8,Produces renewable energy from agricultural biomass.,Technical Understanding|Analytical Thinking|Sustainability Awareness|Problem Solving|Creativity,Data Analysis|Quality Control|Product Development|Environmental Management|Engineering Design,Renewable Energy|Scientific Research|Green Technology|Innovation,Bachelor's in Chemical Engineering|Bachelor's in Sustainability,Agriculture,Transportation
Climate Change Analyst,Journey,60000,90000,3,10,Assesses climate impacts on agriculture and ecosystems.,Analytical Thinking|Research|Communication|Sustainability Awareness|Strategic Thinking,Data Analysis|Statistical Analysis|Forecasting|Environmental Management|Risk Assessment,Climate Science|Environmental Science|Data Analysis|Policy,Bachelor's in Environmental Science|Master's in Environmental Science,Environment,Transportation
