job_id,job_title,job_category,level,min_salary,max_salary,min_exp,max_exp,soft_skill,hard_skill,interest,education
83,AR/VR Designer,Creative,Mid,55000,85000,2,6,Creativity|Technical Understanding|Problem Solving|Communication|Spatial Thinking|Attention to Detail,3D Modeling|Motion Graphics|UX Design|Solidity|Animation|UI Design,3D Graphics|Computer Vision|3D Design|User Experience|Interactive Design,Bachelor's in Industrial Design|Bachelor's in Game Development|Bachelor's in Interactive Media
84,Telecommunications Engineer,Technology,Mid,55000,85000,3,7,Problem Solving|Technical Understanding|Communication|Attention to Detail|Analytical Thinking|Adaptability,Network Security|Digital Marketing|Salesforce|Network Security|Network Security|Usability Testing,Technical Communication|Network Engineering|Mobile Technology|IT Infrastructure|Technical Communication,Bachelor's in Network Engineering|Bachelor's in Electrical Engineering|Bachelor's in Computer Engineering
85,E-learning Developer,Creative,Mid,45000,70000,2,5,Creativity|Technical Understanding|Communication|Attention to Detail|Problem Solving|Organization,UX Design|Web Development|HTML|CSS|JavaScript|Video Editing,E-Learning|Educational Technology|Online Education|Digital Media|Instructional Design,Bachelor's in Information Technology|Bachelor's in Product Design|Bachelor's in Computer Science
86,Tax Consultant,Business,Mid,55000,85000,3,7,Analytical Thinking|Attention to Detail|Communication|Problem Solving|Organization|Research,Tax Preparation|Tax Preparation|Financial Analysis|Tax Preparation|Auditing|Employee Relations,Economics|Accounting|Financial Planning|Health Policy|Client Advisory,Bachelor's in Accounting|Bachelor's in Finance|Master's in Accounting
87,Natural Language Processing Engineer,Technology,Senior,75000,115000,4,8,Problem Solving|Analytical Thinking|Research|Communication|Technical Understanding|Attention to Detail|Creativity,Python|NLP|Machine Learning|Data Preprocessing|Model Training|Sentiment Analysis,Computational Linguistics|AI|Computational Linguistics|Machine Learning|Marketing Analytics,Master's in Linguistics|Bachelor's in Computer Science|PhD in Linguistics
88,Art Director,Creative,Senior,65000,95000,4,8,Creativity|Leadership|Communication|Problem Solving|Attention to Detail|Decision Making|Vision,Adobe XD|Brand Development|Graphic Design|Illustration|Typography|Project Management,Art Direction|Brand Design|Visual Storytelling|Advertising|Creative Leadership,Bachelor's in Fine Arts|Bachelor's in Graphic Design|Master's in Architecture
89,Financial Analyst,Business,Mid,55000,85000,2,6,Analytical Thinking|Attention to Detail|Communication|Problem Solving|Critical Thinking|Organization,Financial Analysis|Financial Modeling|Excel|Forecasting|Budgeting|Financial Reporting,Finance|Investment Analysis|Corporate Finance|Financial Planning|Market Analysis,Bachelor's in Finance|Bachelor's in Economics|Bachelor's in Accounting
90,Augmented Reality Developer,Technology,Mid,60000,90000,2,6,Creativity|Problem Solving|Technical Understanding|Communication|Spatial Thinking|Attention to Detail,Solidity|Trello|Trello|3D Modeling|Mobile Development|Computer Vision,Computer Vision|Mobile Technology|3D Graphics|User Experience|Computer Vision,Bachelor's in Computer Science|Bachelor's in Game Development|Bachelor's in Software Engineering
91,Technical Account Manager,Business,Mid,55000,85000,3,7,Communication|Relationship Building|Problem Solving|Technical Understanding|Empathy|Adaptability|Organization,Salesforce|Vendor Management|Product Development|Project Management|Continuous Deployment|Model Training,Client Relations|Technical Communication|Customer Experience|Product Management|Business Development,Bachelor's in Information Technology|Bachelor's in Business Administration|Bachelor's in Computer Science
92,Data Engineer,Technology,Mid,65000,95000,3,7,Problem Solving|Analytical Thinking|Technical Understanding|Communication|Attention to Detail|Organization,Data Preprocessing|ETL|SQL|Python|Big Data|Google Cloud,Data Science|Big Data|Database Systems|Cloud Computing|Data Architecture,Bachelor's in Computer Science|Bachelor's in Data Science|Master's in Data Science
93,User Experience Researcher,Creative,Mid,55000,85000,2,6,Empathy|Research|Communication|Analytical Thinking|Attention to Detail|Problem Solving,User Research|Usability Testing|Database Design|Data Analysis|Recruiting|Product Development,User Experience|User Interface|Psychology|Research Methodology|Design,Master's in User Experience|Bachelor's in Psychology|Bachelor's in User Experience
94,Sustainability Manager,Business,Senior,65000,95000,4,8,Strategic Thinking|Communication|Problem Solving|Leadership|Research|Organization|Decision Making,Sustainability Planning|Environmental Management|Sustainability Planning|Regulatory Compliance|Stakeholder Management|SEM,Sustainability|Environmental Science|Corporate Social Responsibility|Business Strategy|Green Initiatives,Master's in Sustainability|Bachelor's in Environmental Science|Bachelor's in Business Administration
95,Computer Vision Engineer,Technology,Senior,75000,115000,4,8,Problem Solving|Analytical Thinking|Technical Understanding|Research|Communication|Attention to Detail|Critical Thinking,Computer Vision|Machine Learning|Python|Video Editing|Image Recognition|Neural Networks,Computer Vision|AI|Computer Vision|Machine Learning|Robotics,Master's in Machine Learning|Bachelor's in Computer Science|PhD in Computer Science
96,Social Media Content Creator,Creative,Junior,30000,50000,0,3,Creativity|Communication|Social Media Savvy|Adaptability|Time Management|Attention to Detail,Content Creation|Social Media Marketing|Photography|Video Editing|Copywriting|Graphic Design,Technology|Digital Content|Marketing|Visual Art|Theater,Bachelor's in Digital Media|Bachelor's in Communications|Bachelor's in Marketing
97,Risk Manager,Business,Senior,70000,100000,4,8,Analytical Thinking|Decision Making|Communication|Problem Solving|Strategic Thinking|Attention to Detail|Critical Thinking,Risk Assessment|Risk Management|Regulatory Compliance|Financial Analysis|Statistical Analysis|Risk Management,Risk Management|Risk Management|Risk Management|Security|Business Strategy,Bachelor's in Management|Bachelor's in Finance|Master's in Business Administration
98,Quantum Algorithm Developer,Technology,Senior,85000,130000,5,10,Problem Solving|Analytical Thinking|Research|Technical Understanding|Communication|Creativity|Critical Thinking,Cryptography|AI Algorithms|C++|Solidity|Programming|Data Modeling,Quantum Computing|Algorithms|Theoretical Physics|Mathematics|Computational Science,PhD in Physics|PhD in Computer Science|Master's in Computational Science
99,Digital Product Designer,Creative,Mid,55000,85000,2,6,Creativity|Problem Solving|Communication|Empathy|Attention to Detail|Adaptability,UI Design|UX Design|Figma|Prototyping|UX Design|User Research,Product Development|User Experience|Digital Content|Interactive Design|Visual Art,Bachelor's in Product Design|Bachelor's in Industrial Design|Bachelor's in User Experience
100,Innovation Manager,Business,Senior,70000,105000,4,8,Strategic Thinking|Creativity|Leadership|Communication|Problem Solving|Decision Making|Vision,Brand Development|UX Design|Product Development|Strategic Planning|Project Management|Market Analysis,Healthcare Innovation|Business Strategy|Product Development|Creative Leadership|Entrepreneurship,Master's in Management|Bachelor's in Business Administration|Bachelor's in Industrial Design
101,Mobile Security Specialist,Technology,Mid,60000,90000,3,7,Analytical Thinking|Problem Solving|Attention to Detail|Communication|Technical Understanding|Research,Authentication Systems|Usability Testing|Cryptography|Penetration Testing|Authentication Systems|Threat Intelligence,Security|Cybersecurity|Software Development|Data Protection|Security,Bachelor's in Cybersecurity|Bachelor's in Computer Science|Master's in Cybersecurity
102,Motion Graphics Designer,Creative,Mid,45000,75000,2,5,Creativity|Attention to Detail|Time Management|Communication|Problem Solving|Technical Understanding,After Effects|Motion Graphics|Animation|Typography|Storyboarding|Video Editing,Motion Graphics|Animation|Visual Effects|Film|Advertising,Bachelor's in Motion Graphics|Bachelor's in Digital Media|Bachelor's in Graphic Design
103,Business Development Manager,Business,Senior,65000,100000,4,8,Communication|Relationship Building|Strategic Thinking|Negotiation|Problem Solving|Persuasion|Leadership,Sales Techniques|CRM|Market Research|Contract Negotiation|Strategic Planning|Strategic Planning,Business Development|Sales Strategy|Strategic Partnerships|Market Expansion|Entrepreneurship,Bachelor's in Business Administration|Bachelor's in Marketing|Master's in Business Administration
104,Bioinformatics Specialist,Technology,Senior,70000,110000,4,8,Analytical Thinking|Problem Solving|Research|Communication|Attention to Detail|Technical Understanding|Creativity,Python|R|Data Analysis|Database Design|Data Mining|Statistical Analysis,Bioinformatics|Genomics|Computational Biology|Data Science|Medical Research,Master's in Biology|Bachelor's in Computer Science|PhD in Computational Science
105,Advertising Copywriter,Creative,Mid,40000,65000,2,5,Creativity|Communication|Attention to Detail|Research|Adaptability|Time Management,Copywriting|Brand Messaging|Campaign Management|SEO|Content Marketing|Social Media Marketing,Advertising|Creative Writing|Brand Management|Marketing|Psychology,Bachelor's in Marketing|Bachelor's in English|Bachelor's in Communications
106,Operations Analyst,Business,Mid,45000,70000,2,5,Analytical Thinking|Problem Solving|Communication|Attention to Detail|Organization|Critical Thinking,Process Improvement|Data Analysis|Excel|Operations Management|Process Improvement|Statistical Analysis,Operations Management|Business Analysis|Process Optimization|Supply Chain|Supply Chain,Bachelor's in Business Administration|Bachelor's in Operations Management|Bachelor's in Industrial Design
107,Firmware Engineer,Technology,Mid,60000,90000,3,7,Problem Solving|Technical Understanding|Attention to Detail|Communication|Analytical Thinking|Critical Thinking,C++|Manufacturing Processes|Programming|Prototyping|Usability Testing|Marketo,Software Development|System Architecture|IoT|Programming|Hardware Design,Bachelor's in Electrical Engineering|Bachelor's in Computer Engineering|Master's in Architecture
108,Photographer,Creative,Mid,35000,60000,1,5,Creativity|Communication|Attention to Detail|Technical Understanding|Time Management|Adaptability,Photography|Adobe Photoshop|Adobe Photoshop|Photography|Solidity|Photography,Photography|Visual Art|Photography|Photography|Photography,Bachelor's in Photography|Associate's in Photography|Bachelor's in Fine Arts
109,Procurement Specialist,Business,Mid,45000,70000,2,5,Negotiation|Communication|Analytical Thinking|Attention to Detail|Problem Solving|Organization,Vendor Management|Contract Negotiation|Supply Chain Management|Procurement|Budget Analysis|Inventory Management,Negotiation|Supply Chain|Client Relations|System Optimization|Operations Management,Bachelor's in Supply Chain Management|Bachelor's in Business Administration|Bachelor's in Supply Chain Management
110,Quantum Cryptographer,Technology,Senior,80000,125000,5,9,Problem Solving|Analytical Thinking|Research|Technical Understanding|Attention to Detail|Communication|Critical Thinking,Cryptography|Cryptography|Programming|Programming|Authentication Systems|Cryptography,Quantum Computing|Cybersecurity|Security|Information Security|Theoretical Physics,PhD in Computational Science|Master's in Computational Science|PhD in Physics
111,Fashion Designer,Creative,Mid,40000,70000,2,5,Creativity|Attention to Detail|Communication|Problem Solving|Trend Awareness|Technical Understanding,Illustration|Programming|Merchandising|3D Modeling|Merchandising|Color Theory,Fashion|Fashion|Sustainable Fashion|Fashion|Fashion,Bachelor's in Fashion Design|Associate's in Graphic Design|Bachelor's in Fashion Design
112,Sales Operations Manager,Business,Senior,65000,95000,4,8,Leadership|Communication|Analytical Thinking|Problem Solving|Organization|Decision Making|Strategic Thinking,Sales Techniques|CRM|Supply Chain Management|Analytics|Forecasting|Project Management,Sales|Enterprise Analytics|Team Management|Business Operations|Process Optimization,Bachelor's in Business Administration|Bachelor's in Retail Management|Master's in Business Administration
113,Penetration Tester,Technology,Mid,65000,95000,3,7,Problem Solving|Technical Understanding|Attention to Detail|Communication|Analytical Thinking|Creativity,Ethical Hacking|Security Monitoring|Network Security|Vulnerability Assessment|Social Engineering|Malware Analysis,Cybersecurity|Security|Network Security|Information Security|Digital Forensics,Bachelor's in Cybersecurity|Bachelor's in Computer Science|Bachelor's in Information Security
114,Web Content Strategist,Creative,Mid,45000,70000,2,5,Communication|Creativity|Strategic Thinking|Analytical Thinking|Organization|Attention to Detail,Content Creation|SEO|Web Analytics|CSS|Content Marketing|Data Analysis,Digital Content|Digital Transformation|Content Marketing|User Experience|Information Architecture,Bachelor's in Marketing|Bachelor's in Communications|Bachelor's in English
115,Compensation Analyst,Business,Mid,50000,75000,2,5,Analytical Thinking|Attention to Detail|Communication|Problem Solving|Confidentiality|Organization,Urban Planning|Performance Management|Benefits Administration|HR Management|Statistical Analysis|Excel,Accounting|Human Resources|Medical Administration|Workforce Planning|Organizational Psychology,Bachelor's in Human Resources|Bachelor's in Business Administration|Bachelor's in Economics
116,Wireless Network Engineer,Technology,Mid,55000,85000,3,7,Problem Solving|Technical Understanding|Communication|Attention to Detail|Analytical Thinking|Adaptability,Network Security|Network Security|Urban Planning|Network Security|Usability Testing|Security Monitoring,Mobile Technology|Network Engineering|Technical Communication|Mobile Technology|IT Infrastructure,Bachelor's in Communications|Bachelor's in Network Engineering|Bachelor's in Electrical Engineering
117,Voice Actor,Creative,Mid,40000,70000,1,5,Communication|Creativity|Adaptability|Performance|Attention to Detail|Time Management,Sound Design|Sound Design|Shell Scripting|Storyboarding|Video Editing|Typography,Film|Theater|Art|Animation|Mobile Gaming,Bachelor's in Theater Arts|Bachelor's in Music|Associate's in Culinary Arts
118,Banking Analyst,Business,Mid,50000,80000,2,5,Analytical Thinking|Attention to Detail|Communication|Problem Solving|Organization|Critical Thinking,Financial Analysis|Regulatory Compliance|Risk Assessment|Financial Modeling|Excel|Healthcare Software,Banking|Finance|Financial Markets|Risk Management|Investment Banking,Bachelor's in Finance|Bachelor's in Economics|Bachelor's in Finance
119,Cryptocurrency Developer,Technology,Mid,65000,95000,2,6,Problem Solving|Technical Understanding|Analytical Thinking|Research|Attention to Detail|Communication,Cryptography|Contract Negotiation|Cryptography|Solidity|Cryptography|JavaScript,Cryptocurrency|Blockchain Technology|Banking|Finance|Security,Bachelor's in Computer Science|Bachelor's in Software Engineering|Master's in Information Technology
120,Packaging Designer,Creative,Mid,40000,65000,2,5,Creativity|Technical Understanding|Attention to Detail|Problem Solving|Communication|Sustainability Awareness,Layout Design|Adobe Illustrator|3D Modeling|Prototyping|Solidity|Brand Development,Design|Product Development|Sustainable Design|Brand Identity|Customer Experience,Bachelor's in Product Design|Bachelor's in Industrial Design|Bachelor's in Graphic Design
121,Benefits Coordinator,Business,Mid,40000,65000,2,5,Communication|Organization|Attention to Detail|Empathy|Problem Solving|Adaptability,Benefits Administration|HR Management|Employee Relations|Healthcare Software|Benefits Administration|Regulatory Compliance,Human Resources|Workplace Training|Medical Administration|Financial Planning|Human Resources,Bachelor's in Human Resources|Bachelor's in Business Administration|Associate's in Business Administration
122,Quantum Machine Learning Engineer,Technology,Senior,85000,130000,4,8,Problem Solving|Analytical Thinking|Research|Technical Understanding|Communication|Creativity|Critical Thinking,Cryptography|Machine Learning|Python|AI Algorithms|C++|Statistical Analysis,Quantum Computing|Machine Learning|AI|Theoretical Physics|Computational Science,PhD in Computational Science|Master's in Machine Learning|PhD in Physics
123,Storyboard Artist,Creative,Mid,45000,75000,2,5,Creativity|Communication|Visual Storytelling|Attention to Detail|Time Management|Adaptability,Storyboarding|Sketch|Motion Graphics|Video Editing|Graphic Design|Urban Planning,Animation|Film|Visual Storytelling|Character Design|Film,Bachelor's in Animation|Bachelor's in Film Production|Bachelor's in Fine Arts
124,Franchise Development Manager,Business,Senior,65000,95000,4,8,Strategic Thinking|Communication|Relationship Building|Leadership|Negotiation|Problem Solving|Business Acumen,Retail Operations|Product Development|Contract Negotiation|Market Analysis|Strategic Planning|Sales Techniques,Team Management|Business Development|Sales Strategy|Entrepreneurship|Advertising,Bachelor's in Business Administration|Bachelor's in Management|Master's in Business Administration
125,Quantum Physicist,Technology,Senior,75000,120000,5,10,Analytical Thinking|Research|Problem Solving|Technical Understanding|Communication|Critical Thinking|Attention to Detail,Reinforcement Learning|Data Modeling|UX Design|Data Analysis|Programming|Reinforcement Learning,Quantum Physics|Theoretical Physics|Quantum Computing|Scientific Research|Physics,PhD in Physics|PhD in Physics|Master's in Physics
126,Podcast Producer,Creative,Mid,40000,65000,2,5,Communication|Creativity|Organization|Technical Understanding|Adaptability|Problem Solving,Sound Design|Sound Design|Recruiting|Storyboarding|Content Creation|Statistical Analysis,Digital Media|Theater|Storytelling|Digital Media|Content Creation,Bachelor's in Music|Bachelor's in Communications|Bachelor's in Digital Media
127,Insurance Underwriter,Business,Mid,50000,80000,2,6,Analytical Thinking|Attention to Detail|Decision Making|Communication|Decision Making|Problem Solving,Risk Analysis|Risk Management|Copywriting|Financial Analysis|Strategic Planning|Regulatory Compliance,Healthcare|Risk Management|Financial Analysis|Material Science|Health Policy,Bachelor's in Finance|Bachelor's in Management|Bachelor's in Healthcare Management
128,Deep Learning Engineer,Technology,Senior,75000,115000,4,8,Problem Solving|Analytical Thinking|Research|Communication|Technical Understanding|Creativity|Attention to Detail,Neural Networks|TensorFlow|PyTorch|Deep Learning|Data Preprocessing|Model Training,Deep Learning|AI|Neural Networks|Computer Vision|Computational Linguistics,Master's in Machine Learning|Bachelor's in Computer Science|PhD in Artificial Intelligence
129,Exhibition Designer,Creative,Mid,45000,70000,2,5,Creativity|Communication|Technical Understanding|Attention to Detail|Problem Solving|Spatial Thinking,UX Design|3D Modeling|Urban Planning|UI Design|UI Design|Sketch,Design|Art|Interactive Design|Design|Visual Storytelling,Bachelor's in Product Design|Bachelor's in Architecture|Bachelor's in Interior Design
130,Commercial Real Estate Analyst,Business,Mid,55000,85000,3,7,Analytical Thinking|Communication|Research|Problem Solving|Attention to Detail|Negotiation|Critical Thinking,Real Estate Valuation|Financial Modeling|Market Analysis|Property Management|Retail Operations|Budgeting,Advertising|Investment|Market Analysis|Business Planning|Financial Analysis,Bachelor's in Real Estate|Bachelor's in Finance|Master's in Real Estate
131,Nanotechnology Engineer,Technology,Senior,75000,115000,4,8,Problem Solving|Analytical Thinking|Research|Technical Understanding|Attention to Detail|Communication|Creativity,React|Image Recognition|Solidity|Animation|Manufacturing Processes|Prototyping,Nanotechnology|Material Science|Network Engineering|Quantum Physics|Biotechnology,PhD in Chemistry|Master's in Chemistry|Bachelor's in Physics
132,Book Editor,Creative,Mid,45000,70000,2,6,Communication|Attention to Detail|Organization|Critical Thinking|Creativity|Problem Solving,Video Editing|Copywriting|Copywriting|Copywriting|CSS|Employee Relations,Publishing|Creative Writing|Creative Writing|Film|Publishing,Bachelor's in English|Master's in Management|Bachelor's in Communications
133,Inventory Manager,Business,Mid,45000,70000,2,5,Organization|Attention to Detail|Problem Solving|Communication|Analytical Thinking|Decision Making,Inventory Management|Supply Chain Management|Operations Management|Forecasting|Logistics|Data Analysis,Supply Chain|Supply Chain|Supply Chain|Operations Management|Sales Strategy,Bachelor's in Supply Chain Management|Bachelor's in Business Administration|Bachelor's in Operations Management
134,Quantum Network Engineer,Technology,Senior,80000,120000,4,8,Problem Solving|Technical Understanding|Analytical Thinking|Research|Communication|Attention to Detail|Critical Thinking,Cryptography|Architecture|Cryptography|Photography|Cryptography|Neural Networks,Quantum Computing|Quantum Computing|Network Engineering|Quantum Computing|Information Security,PhD in Physics|Bachelor's in Network Engineering|PhD in Computer Science
135,Set Designer,Creative,Mid,40000,70000,2,5,Creativity|Technical Understanding|Attention to Detail|Communication|Problem Solving|Spatial Thinking,UI Design|Sketch|Sketch|Model Training|Construction Management|UX Design,Theater|Film|Design|System Architecture|Visual Storytelling,Bachelor's in Industrial Design|Bachelor's in Theater Arts|Bachelor's in Architecture
136,Patent Analyst,Business,Mid,55000,85000,3,7,Analytical Thinking|Attention to Detail|Research|Communication|Technical Understanding|Problem Solving,Legal Research|Business Analysis|Typography|Legal Research|Digital Forensics|Data Mining,Technology|Product Development|Technology|Product Management|Research,Bachelor's in Engineering|Master's in Information Technology|Bachelor's in Law
137,Edge Computing Engineer,Technology,Mid,65000,95000,3,7,Problem Solving|Technical Understanding|Communication|Analytical Thinking|Adaptability|Attention to Detail,Architecture|Big Data|Authentication Systems|Google Cloud|Network Security|Architecture,Edge Computing|IoT|Cloud Computing|Distributed Systems|Network Architecture,Bachelor's in Computer Engineering|Bachelor's in Computer Science|Master's in Management
138,Textile Designer,Creative,Mid,40000,65000,2,5,Creativity|Attention to Detail|Technical Understanding|Problem Solving|Communication|Trend Awareness,Graphic Design|Feature Engineering|Color Theory|Solidity|3D Modeling|Sketch,Sustainable Fashion|Material Science|Fashion|3D Design|Sustainable Fashion,Bachelor's in Fashion Design|Bachelor's in Fashion Design|Bachelor's in Fine Arts
139,Actuary,Business,Senior,70000,110000,4,8,Analytical Thinking|Problem Solving|Communication|Attention to Detail|Mathematical Aptitude|Critical Thinking|Technical Understanding,Statistical Analysis|Risk Assessment|Healthcare Software|Financial Modeling|Statistical Analysis|Data Analysis,Material Science|Risk Management|Healthcare|Finance|Statistics,Bachelor's in Materials Science|Bachelor's in Mathematics|Master's in Statistics
140,Robotics Software Engineer,Technology,Senior,75000,115000,4,8,Problem Solving|Technical Understanding|Analytical Thinking|Communication|Attention to Detail|Creativity|Research,Programming|Ruby|C++|Computer Vision|Machine Learning|Reinforcement Learning,Robotics|AI|Software Systems|Automation|Computer Vision,Master's in Artificial Intelligence|Bachelor's in Computer Science|Bachelor's in Mechanical Engineering
141,Commercial Photographer,Creative,Mid,40000,65000,2,6,Creativity|Communication|Attention to Detail|Technical Understanding|Problem Solving|Adaptability,Photography|Adobe Photoshop|Adobe Photoshop|Photography|Photography|Photography,Photography|Visual Art|Advertising|Branding|Digital Media,Bachelor's in Photography|Associate's in Photography|Bachelor's in Fine Arts
142,Supply Chain Manager,Business,Senior,65000,95000,4,8,Leadership|Strategic Thinking|Problem Solving|Communication|Analytical Thinking|Decision Making|Organization,Supply Chain Management|Logistics|Inventory Management|Operations Management|Procurement|Vendor Management,Supply Chain|Supply Chain|Operations Management|Supply Chain|Global Business,Bachelor's in Supply Chain Management|Master's in Business Administration|Bachelor's in Operations Management
143,Computational Linguist,Technology,Senior,70000,105000,4,8,Analytical Thinking|Problem Solving|Research|Communication|Technical Understanding|Attention to Detail|Critical Thinking,Natural Language Processing|Data Modeling|Machine Learning|NLP|Python|Analytics,Computational Linguistics|Computational Linguistics|AI|Computational Linguistics|Technology,PhD in Linguistics|Master's in Linguistics|Master's in Computer Science
144,Visual Merchandiser,Creative,Mid,35000,55000,1,4,Creativity|Attention to Detail|Communication|Problem Solving|Trend Awareness|Spatial Thinking,Graphic Design|Urban Planning|Retail Operations|Brand Development|Photography|UI Design,Visual Art|Design|Fashion|Brand Management|Psychology,Bachelor's in Fashion Merchandising|Associate's in Graphic Design|Bachelor's in Fashion Merchandising
145,Financial Controller,Business,Senior,70000,105000,4,8,Analytical Thinking|Attention to Detail|Leadership|Communication|Problem Solving|Decision Making|Organization,Financial Reporting|Accounting|Budgeting|Auditing|Financial Analysis|Operations Management,Financial Planning|Accounting|Corporate Finance|Health Policy|Business Strategy,Bachelor's in Accounting|Master's in Finance|Certificate in Digital Marketing
146,High Performance Computing Specialist,Technology,Senior,75000,115000,4,8,Problem Solving|Technical Understanding|Analytical Thinking|Communication|Attention to Detail|Research|Critical Thinking,Programming|Authentication Systems|C++|Kanban|Performance Management|Architecture,Scientific Computing|Scientific Computing|Computer Architecture|Programming|Research Computing,Master's in Computer Science|PhD in Computational Science|Bachelor's in Computer Engineering
147,UX Writer,Creative,Mid,45000,70000,2,5,Communication|Creativity|Empathy|Attention to Detail|Problem Solving|Research,UX Design|Microservices|Content Marketing|Architecture|User Research|CSS,User Experience|Design|Technical Communication|Digital Content|Information Design,Bachelor's in English|Bachelor's in Communications|Bachelor's in Industrial Design
148,Merchandising Planner,Business,Mid,45000,70000,2,5,Analytical Thinking|Communication|Attention to Detail|Problem Solving|Organization|Strategic Thinking,Retail Operations|Inventory Management|Retail Operations|Forecasting|Excel|Retail Operations,Sales|Business Planning|Sales|Fashion|Business Planning,Bachelor's in Retail Management|Bachelor's in Fashion Merchandising|Bachelor's in Business Administration
149,Mobile Security Analyst,Technology,Mid,60000,90000,3,7,Analytical Thinking|Problem Solving|Attention to Detail|Communication|Technical Understanding|Research,Mobile Development|Vulnerability Assessment|Penetration Testing|Cryptography|Authentication Systems|Threat Intelligence,Security|Cybersecurity|Security|Digital Forensics|Security,Bachelor's in Cybersecurity|Bachelor's in Computer Science|Master's in Cybersecurity
150,Script Supervisor,Creative,Mid,40000,65000,2,5,Attention to Detail|Communication|Organization|Problem Solving|Adaptability|Time Management,Shell Scripting|Storyboarding|Video Editing|Copywriting|Confluence|Project Management,Film|Cinema|Programming|Data Analysis|Film,Bachelor's in Film Production|Bachelor's in Theater Arts|Associate's in Photography
151,Regulatory Affairs Specialist,Business,Mid,55000,85000,3,7,Attention to Detail|Communication|Analytical Thinking|Problem Solving|Research|Organization,Regulatory Compliance|Confluence|Clinical Trials|Product Development|Quality Control|Regulatory Compliance,Corporate Governance|Security|Healthcare|Pharmaceuticals|Medical Devices,Bachelor's in Biology|Bachelor's in Business Administration|Master's in Biology
152,Cybersecurity Architect,Technology,Senior,80000,125000,5,9,Problem Solving|Strategic Thinking|Technical Understanding|Communication|Analytical Thinking|Attention to Detail|Leadership,Security Architecture|Network Security|Cloud Security|Risk Assessment|Security Compliance|Identity Management,Cybersecurity|Information Security|IT Infrastructure|Risk Management|Security,Bachelor's in Cybersecurity|Master's in Cybersecurity|Bachelor's in Computer Science
153,Illustrator,Creative,Mid,40000,65000,2,5,Creativity|Attention to Detail|Communication|Technical Understanding|Problem Solving|Adaptability,Adobe Illustrator|Illustration|Sketch|Color Theory|Graphic Design|Illustration,Illustration|Visual Art|Character Design|Art|Illustration,Bachelor's in Illustration|Bachelor's in Fine Arts|Associate's in Graphic Design
154,Compensation and Benefits Manager,Business,Senior,65000,95000,4,8,Leadership|Communication|Analytical Thinking|Decision Making|Problem Solving|Organization|Strategic Thinking,Urban Planning|Benefits Administration|HR Management|Regulatory Compliance|Accounting|Performance Management,Accounting|Medical Administration|Human Resources|Team Management|Organizational Psychology,Bachelor's in Human Resources|Master's in Human Resources|Bachelor's in Business Administration
155,VR/AR Software Developer,Technology,Mid,60000,90000,3,7,Problem Solving|Creativity|Technical Understanding|Communication|Attention to Detail|Adaptability,Solidity|Animation|C#|3D Modeling|Authentication Systems|Computer Vision,3D Graphics|Computer Vision|Game Development|Scientific Computing|Technology,Bachelor's in Computer Science|Bachelor's in Game Development|Bachelor's in Interactive Media
156,Brand Strategist,Creative,Mid,50000,80000,3,7,Strategic Thinking|Creativity|Communication|Analytical Thinking|Problem Solving|Research|Vision,Brand Strategy|Market Research|Market Analysis|Market Research|Brand Strategy|Campaign Management,Brand Design|Marketing Strategy|Marketing|Market Research|Advertising,Bachelor's in Marketing|Master's in Marketing|Bachelor's in Communications
157,Energy Analyst,Business,Mid,50000,80000,2,5,Analytical Thinking|Communication|Problem Solving|Attention to Detail|Research|Technical Understanding,Data Modeling|Data Analysis|Resource Allocation|Budget Analysis|Sustainability Planning|Sustainability Planning,Environmental Management|Sustainability|Sustainability|Economics|Environmental Science,Bachelor's in Management|Bachelor's in Environmental Science|Bachelor's in Engineering
158,Microservices Developer,Technology,Mid,65000,95000,3,7,Problem Solving|Technical Understanding|Communication|Attention to Detail|Analytical Thinking|Adaptability,Microservices|Containerization|API Design|Google Cloud|Jenkins|Service Mesh,Customer Service|Cloud Computing|System Architecture|DevOps|Database Design,Bachelor's in Computer Science|Bachelor's in Software Engineering|Master's in Management
159,Music Producer,Creative,Mid,40000,70000,2,6,Creativity|Technical Understanding|Communication|Problem Solving|Attention to Detail|Adaptability,Sound Design|Sound Design|Sound Design|Solidity|Deep Learning|Sound Design,Theater|Digital Media|Design|Art|Art,Bachelor's in Music|Bachelor's in Engineering|Associate's in Photography
160,Investment Banking Analyst,Business,Mid,65000,100000,2,5,Analytical Thinking|Attention to Detail|Communication|Problem Solving|Time Management|Organization|Critical Thinking,Financial Modeling|Real Estate Valuation|Business Analysis|Excel|MS Project|Financial Analysis,Investment Banking|Corporate Finance|Financial Markets|Mergers & Acquisitions|Capital Markets,Bachelor's in Finance|Bachelor's in Economics|Master's in Finance
161,Autonomous Vehicle Engineer,Technology,Senior,80000,120000,4,8,Problem Solving|Technical Understanding|Analytical Thinking|Research|Communication|Attention to Detail|Creativity,AI Algorithms|Computer Vision|Machine Learning|Computer Vision|Reinforcement Learning|Computer Vision,Robotics|Robotics|AI|Computer Vision|Technology,Master's in Artificial Intelligence|PhD in Computer Science|Bachelor's in Mechanical Engineering
